data_arc_in_days,observations_used,orbit_uncertainty,minimum_orbit_intersection,eccentricity,perihelion_distance,perihelion_time,absolute_magnitude,relative_velocity,hazardous,estimated_diameter
12195.0,1878,0,0.167227,0.2891396091282228,1.154930976711355,2460761.9812395037,17.61,11.6327168829,False,1.29283355895
13260.0,1100,0,0.0239189,0.4996137169793169,0.6362706829579036,2460760.934607649,18.86,10.1965690958,True,0.7270137368
13449.0,857,0,0.139249,0.3521491926699417,0.942313308885134,2460809.792333,17.84,21.2944486197,False,1.1629006596
15600.0,1986,0,0.0260904,0.4124694590487856,0.6762385379898135,2461221.275879992,18.59,18.6113990432,True,0.82327061965
8968.0,1017,0,0.0224543,0.6187571562047618,0.9442529975427694,2461425.955719726,19.22,11.7428781705,True,0.6159459682499999
11898.0,202,0,0.0373302,0.5920989723391571,1.021429484185359,2461482.344642163,18.72,5.9681897767,True,0.77543003175
10919.0,963,0,0.0622411,0.3150127532310571,1.010896163192518,2461228.564541108,18.08,14.1747874596,False,1.04122027645
13249.0,274,0,0.186182,0.5636857897403278,1.187486811203709,2461757.708506244,18.32,10.6587108563,False,0.93227194875
12808.0,2553,0,0.0214617,0.4845101481222294,0.91376775865081,2460626.4960428,17.7,14.939017208,True,1.2403453329
15430.0,1343,0,0.188845,0.4819566218473221,1.194372870385952,2460580.1366520985,18.8,5.4138308985,False,0.7473819704
12698.0,515,0,0.16728,0.2920864021139001,1.10834450597897,2461058.5279057315,18.11,2.544989556,False,1.0269341987
13289.0,1335,0,0.00657976,0.4815705403185895,0.7607508823787917,2461076.816419689,18.01,15.7624761233,True,1.0753321164
11845.0,3809,0,0.0216151,0.1646364244344887,0.9378519147655442,2460814.919691535,17.34,19.0319360269,True,1.46400519175
10752.0,202,0,0.134693,0.5186281451094488,1.042213861438789,2461220.9847110403,17.83,14.7878635837,False,1.1682683651999999
12294.0,1282,0,0.0168445,0.4560056779676914,0.9506730970461742,2460761.089537385,18.88,9.9874150956,True,0.72034843475
11930.0,725,0,0.0730225,0.4090551925879929,1.081819459540233,2460588.021428432,18.02,7.8192222283,False,1.07039141415
12273.0,2296,0,0.0837253,0.3597180320874244,0.99710618326746,2460748.545708525,17.81,11.4224768815,False,1.17907821925
13862.0,786,0,0.0806247,0.5954790896084459,0.6054407796592528,2461125.709635516,18.01,20.5010944504,False,1.0753321164
12423.0,1382,0,0.376449,0.5038529009841233,0.6125419326060777,2460973.924923676,17.36,21.6037325423,False,1.4505831115
13223.0,1233,0,0.0805193,0.1369000076743808,1.098516606123327,2460823.473995017,19.45,2.5103122469,False,0.5540419087999999
25608.0,877,0,0.110382,0.512823669254268,0.9181642945454568,2460602.5199423055,17.7,11.6108281251,False,1.2403453329
27208.0,792,0,0.168355,0.3373665208046583,1.153074358903746,2461335.6452483432,18.25,9.0512730321,False,0.9628144882999999
13076.0,1250,0,0.0343828,0.3558434139111002,0.6955975400847054,2461051.8109114566,18.36,9.5044631975,True,0.91525606795
